procedure_id,procedure_name,category,species,year,got_version,fee_1x,fee_2x,fee_3x,currency,source,citation
general_exam,General Examination with Consultation,examination,dog,1999,GOT_1999,10.74,21.48,32.22,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
general_exam,General Examination with Consultation,examination,dog,2008,GOT_2008,12.03,24.06,36.09,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
general_exam,General Examination with Consultation,examination,dog,2017,GOT_2017,13.47,26.94,40.41,EUR,Buzer.de,"GOT 2017 official text"
general_exam,General Examination with Consultation,examination,dog,2022,GOT_2022,23.62,47.24,70.86,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
general_exam,General Examination with Consultation,examination,cat,1999,GOT_1999,7.16,14.32,21.48,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
general_exam,General Examination with Consultation,examination,cat,2008,GOT_2008,8.02,16.04,24.06,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
general_exam,General Examination with Consultation,examination,cat,2017,GOT_2017,8.98,17.96,26.94,EUR,Buzer.de,"GOT 2017 official text"
general_exam,General Examination with Consultation,examination,cat,2022,GOT_2022,23.62,47.24,70.86,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
vaccination,Vaccination (single animal),preventive,dog,1999,GOT_1999,3.58,7.16,10.74,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
vaccination,Vaccination (single animal),preventive,dog,2008,GOT_2008,4.01,8.02,12.03,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
vaccination,Vaccination (single animal),preventive,dog,2017,GOT_2017,4.49,8.98,13.47,EUR,Buzer.de,"GOT 2017 official text"
vaccination,Vaccination (single animal),preventive,dog,2022,GOT_2022,8.58,17.16,25.74,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
vaccination,Vaccination (single animal),preventive,cat,1999,GOT_1999,3.58,7.16,10.74,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
vaccination,Vaccination (single animal),preventive,cat,2008,GOT_2008,4.01,8.02,12.03,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
vaccination,Vaccination (single animal),preventive,cat,2017,GOT_2017,4.49,8.98,13.47,EUR,Buzer.de,"GOT 2017 official text"
vaccination,Vaccination (single animal),preventive,cat,2022,GOT_2022,8.58,17.16,25.74,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
castration_male,Castration (male),surgery,dog,1999,GOT_1999,40.92,81.84,122.76,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
castration_male,Castration (male),surgery,dog,2008,GOT_2008,45.81,91.62,137.43,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
castration_male,Castration (male),surgery,dog,2017,GOT_2017,51.31,102.62,153.93,EUR,Buzer.de,"GOT 2017 official text"
castration_male,Castration (male),surgery,dog,2022,GOT_2022,70.60,141.20,211.80,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
castration_male,Castration (male),surgery,cat,1999,GOT_1999,15.34,30.68,46.02,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
castration_male,Castration (male),surgery,cat,2008,GOT_2008,17.18,34.36,51.54,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
castration_male,Castration (male),surgery,cat,2017,GOT_2017,19.24,38.48,57.72,EUR,Buzer.de,"GOT 2017 official text"
castration_male,Castration (male),surgery,cat,2022,GOT_2022,30.32,60.64,90.96,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
castration_female,Castration (female) / Ovariohysterectomy,surgery,dog,1999,GOT_1999,127.81,255.62,383.43,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
castration_female,Castration (female) / Ovariohysterectomy,surgery,dog,2008,GOT_2008,143.16,286.32,429.48,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
castration_female,Castration (female) / Ovariohysterectomy,surgery,dog,2017,GOT_2017,160.34,320.68,481.02,EUR,Buzer.de,"GOT 2017 official text"
castration_female,Castration (female) / Ovariohysterectomy,surgery,dog,2022,GOT_2022,183.37,366.74,550.11,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
castration_female,Castration (female) / Ovariohysterectomy,surgery,cat,1999,GOT_1999,46.01,92.02,138.03,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
castration_female,Castration (female) / Ovariohysterectomy,surgery,cat,2008,GOT_2008,51.54,103.08,154.62,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
castration_female,Castration (female) / Ovariohysterectomy,surgery,cat,2017,GOT_2017,57.72,115.44,173.16,EUR,Buzer.de,"GOT 2017 official text"
castration_female,Castration (female) / Ovariohysterectomy,surgery,cat,2022,GOT_2022,56.48,112.96,169.44,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
xray_first,X-Ray (first exposure),diagnostics,dog,1999,GOT_1999,25.56,51.12,76.68,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
xray_first,X-Ray (first exposure),diagnostics,dog,2008,GOT_2008,28.63,57.26,85.89,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
xray_first,X-Ray (first exposure),diagnostics,dog,2017,GOT_2017,32.07,64.14,96.21,EUR,Buzer.de,"GOT 2017 official text"
xray_first,X-Ray (first exposure),diagnostics,dog,2022,GOT_2022,32.07,64.14,96.21,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
xray_first,X-Ray (first exposure),diagnostics,cat,1999,GOT_1999,25.56,51.12,76.68,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
xray_first,X-Ray (first exposure),diagnostics,cat,2008,GOT_2008,28.63,57.26,85.89,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
xray_first,X-Ray (first exposure),diagnostics,cat,2017,GOT_2017,32.07,64.14,96.21,EUR,Buzer.de,"GOT 2017 official text"
xray_first,X-Ray (first exposure),diagnostics,cat,2022,GOT_2022,32.07,64.14,96.21,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
ultrasound,Ultrasound Examination,diagnostics,dog,1999,GOT_1999,33.74,67.48,101.22,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
ultrasound,Ultrasound Examination,diagnostics,dog,2008,GOT_2008,37.80,75.60,113.40,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
ultrasound,Ultrasound Examination,diagnostics,dog,2017,GOT_2017,42.34,84.68,127.02,EUR,Buzer.de,"GOT 2017 official text"
ultrasound,Ultrasound Examination,diagnostics,dog,2022,GOT_2022,58.92,117.84,176.76,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
ultrasound,Ultrasound Examination,diagnostics,cat,1999,GOT_1999,33.74,67.48,101.22,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
ultrasound,Ultrasound Examination,diagnostics,cat,2008,GOT_2008,37.80,75.60,113.40,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
ultrasound,Ultrasound Examination,diagnostics,cat,2017,GOT_2017,42.34,84.68,127.02,EUR,Buzer.de,"GOT 2017 official text"
ultrasound,Ultrasound Examination,diagnostics,cat,2022,GOT_2022,58.92,117.84,176.76,EUR,BMEL,"GOT 2022 official (BJNR140100022)"
blood_draw,Blood Draw (venous),diagnostics,dog,1999,GOT_1999,5.11,10.22,15.33,EUR,GOT_Archive,"Calculated from GOT 1999 baseline"
blood_draw,Blood Draw (venous),diagnostics,dog,2008,GOT_2008,5.72,11.44,17.16,EUR,GOT_Archive,"GOT 2008 (+12% from 1999)"
blood_draw,Blood Draw (venous),diagnostics,dog,2017,GOT_2017,6.41,12.82,19.23,EUR,Buzer.de,"GOT 2017 official text"
