breed_id,sex,country,le_years,le_low,le_high,source,citation
dog_generic,all,all,12.5,11.0,14.0,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_generic,male,all,12.4,10.9,13.9,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_generic,female,all,12.7,11.2,14.2,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_mixed,all,all,12.8,11.3,14.3,VetCompass,"Yordy et al. 2023 PMC Study"
dog_mixed,male,all,12.6,11.1,14.1,VetCompass,"Yordy et al. 2023 PMC Study"
dog_mixed,female,all,13.0,11.5,14.5,VetCompass,"Yordy et al. 2023 PMC Study"
dog_labrador,all,all,12.0,10.5,13.5,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_labrador,male,all,11.8,10.3,13.3,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_labrador,female,all,12.2,10.7,13.7,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_german_shepherd,all,all,10.3,8.8,11.8,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_german_shepherd,male,all,10.1,8.6,11.6,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_german_shepherd,female,all,10.5,9.0,12.0,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_golden_retriever,all,all,12.2,10.7,13.7,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_golden_retriever,male,all,12.0,10.5,13.5,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_golden_retriever,female,all,12.4,10.9,13.9,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_french_bulldog,all,all,9.8,8.3,11.3,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_french_bulldog,male,all,9.6,8.1,11.1,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_french_bulldog,female,all,10.0,8.5,11.5,VetCompass,"McMillan et al. 2024 Scientific Reports"
dog_bulldog,all,all,7.4,6.0,8.8,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_bulldog,male,all,7.2,5.8,8.6,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_bulldog,female,all,7.6,6.2,9.0,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_poodle,all,all,14.0,12.5,15.5,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_poodle,male,all,13.8,12.3,15.3,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_poodle,female,all,14.2,12.7,15.7,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_beagle,all,all,12.5,11.0,14.0,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_beagle,male,all,12.3,10.8,13.8,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_beagle,female,all,12.7,11.2,14.2,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_rottweiler,all,all,9.0,7.5,10.5,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_rottweiler,male,all,8.8,7.3,10.3,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_rottweiler,female,all,9.2,7.7,10.7,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_yorkshire_terrier,all,all,12.5,11.0,14.0,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_yorkshire_terrier,male,all,12.3,10.8,13.8,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_yorkshire_terrier,female,all,12.7,11.2,14.2,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_boxer,all,all,10.0,8.5,11.5,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_boxer,male,all,9.8,8.3,11.3,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_boxer,female,all,10.2,8.7,11.7,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_dachshund,all,all,12.5,11.0,14.0,VetCompass,"Teng et al. 2022 Scientific Reports"
dog_dachshund,male,all,12.3,10.8,13.8,VetCompass,"Teng et al. 2022 Scientific Reports"
