condition_id,condition_name,category,country,cost_type,cost_low,cost_mid,cost_high,currency,year,source,citation
hip_dysplasia,Hip Dysplasia,orthopedic,UK,treatment,1500,3500,7000,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
elbow_dysplasia,Elbow Dysplasia,orthopedic,UK,treatment,1200,2800,5500,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
cruciate_disease,Cruciate Ligament Disease,orthopedic,UK,treatment,1800,3200,5000,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
patellar_luxation,Patellar Luxation,orthopedic,UK,treatment,800,1800,3500,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
arthritis,Arthritis,orthopedic,UK,annual_management,300,600,1200,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
intervertebral_disc,Intervertebral Disc Disease,neurological,UK,treatment,2000,4500,8000,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
degenerative_myelopathy,Degenerative Myelopathy,neurological,UK,annual_management,200,500,1000,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
syringomyelia,Syringomyelia,neurological,UK,annual_management,500,1200,2500,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
epilepsy,Epilepsy,neurological,UK,annual_management,400,800,1500,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
spinal_disease,Spinal Disease,neurological,UK,treatment,1500,3500,7000,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
heart_disease,Heart Disease,cardiovascular,UK,annual_management,500,1200,2500,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
gastric_dilatation,Gastric Dilatation Volvulus,gastrointestinal,UK,treatment,2000,4000,8000,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
pancreatitis,Pancreatitis,gastrointestinal,UK,treatment,500,1500,3500,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
digestive_disease,Digestive Disease,gastrointestinal,UK,annual_management,200,500,1200,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
liver_shunt,Liver Shunt,gastrointestinal,UK,treatment,2500,5000,10000,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
boas,Brachycephalic Obstructive Airway Syndrome,respiratory,UK,treatment,1200,2500,5000,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
tracheal_collapse,Tracheal Collapse,respiratory,UK,treatment,800,2000,4500,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
respiratory_disease,Respiratory Disease,respiratory,UK,annual_management,200,500,1200,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
heat_stroke,Heat Stroke,respiratory,UK,treatment,500,1500,4000,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
skin_allergies,Skin Allergies,dermatological,UK,annual_management,300,800,2000,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
skin_fold_dermatitis,Skin Fold Dermatitis,dermatological,UK,annual_management,200,500,1200,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
skin_disease,Skin Disease,dermatological,UK,annual_management,200,600,1500,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
ear_infection,Ear Infection,dermatological,UK,treatment,100,300,800,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
ear_disease,Ear Disease,dermatological,UK,annual_management,150,400,1000,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
eye_disease,Eye Disease,ophthalmological,UK,treatment,300,800,2500,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
eye_ulcers,Eye Ulcers,ophthalmological,UK,treatment,200,500,1500,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
cherry_eye,Cherry Eye,ophthalmological,UK,treatment,300,600,1200,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
cancer,Cancer,oncological,UK,treatment,2000,5000,15000,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
dental_disease,Dental Disease,dental,UK,treatment,300,600,1500,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
obesity,Obesity,metabolic,UK,annual_management,100,300,800,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
diabetes,Diabetes,metabolic,UK,annual_management,600,1200,2500,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
hypothyroidism,Hypothyroidism,metabolic,UK,annual_management,200,400,800,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
hyperthyroidism,Hyperthyroidism,metabolic,UK,annual_management,300,600,1200,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
hyperlipidemia,Hyperlipidemia,metabolic,UK,annual_management,200,400,800,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
hypoglycemia,Hypoglycemia,metabolic,UK,treatment,150,400,1000,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
hypokalaemia,Hypokalaemia,metabolic,UK,annual_management,150,350,700,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
kidney_disease,Chronic Kidney Disease,renal,UK,annual_management,400,1000,2500,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
urinary_disease,Urinary Tract Disease,renal,UK,treatment,300,800,2000,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
urinary_stones,Urinary Stones,renal,UK,treatment,800,2000,4500,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
amyloidosis,Amyloidosis,renal,UK,annual_management,500,1200,2500,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
deafness,Deafness,sensory,UK,diagnosis,200,400,800,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
blood_disorder,Blood Disorder,hematological,UK,annual_management,400,900,2000,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
hairballs,Hairballs,gastrointestinal,UK,annual_management,50,150,400,GBP,2024,PDSA_PAW,"PDSA PAW Report 2023"
spinal_muscular_atrophy,Spinal Muscular Atrophy,neurological,UK,annual_management,200,500,1000,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
osteochondrodysplasia,Osteochondrodysplasia,orthopedic,UK,annual_management,300,800,2000,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
glycogen_storage_disease,Glycogen Storage Disease,metabolic,UK,annual_management,400,900,1800,GBP,2024,BVA_Fee_Survey,"BVA Fee Survey 2023"
hip_dysplasia,Hip Dysplasia,orthopedic,DE,treatment,1600,3500,7000,EUR,2024,GOT_Estimate,"German GOT Fee Schedule 2024"
