breed_id,condition_id,metric_type,metric_value,age_band,source,citation
dog_labrador,hip_dysplasia,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_labrador,elbow_dysplasia,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_labrador,obesity,prevalence,0.18,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_labrador,ear_infection,prevalence,0.15,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_labrador,cruciate_disease,prevalence,0.05,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_german_shepherd,hip_dysplasia,prevalence,0.19,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_german_shepherd,degenerative_myelopathy,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_german_shepherd,elbow_dysplasia,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_german_shepherd,skin_allergies,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_german_shepherd,gastric_dilatation,prevalence,0.04,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_golden_retriever,cancer,prevalence,0.25,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_golden_retriever,hip_dysplasia,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_golden_retriever,skin_allergies,prevalence,0.14,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_golden_retriever,ear_infection,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_golden_retriever,heart_disease,prevalence,0.06,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_french_bulldog,boas,prevalence,0.45,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_french_bulldog,skin_fold_dermatitis,prevalence,0.22,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_french_bulldog,ear_infection,prevalence,0.18,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_french_bulldog,spinal_disease,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_french_bulldog,eye_ulcers,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_bulldog,boas,prevalence,0.48,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_bulldog,skin_fold_dermatitis,prevalence,0.25,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_bulldog,cherry_eye,prevalence,0.15,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_bulldog,hip_dysplasia,prevalence,0.18,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_bulldog,heat_stroke,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_poodle,ear_infection,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_poodle,skin_allergies,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_poodle,dental_disease,prevalence,0.12,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_poodle,epilepsy,prevalence,0.03,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_poodle,eye_disease,prevalence,0.05,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_beagle,ear_infection,prevalence,0.18,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_beagle,obesity,prevalence,0.20,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_beagle,epilepsy,prevalence,0.05,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_beagle,hypothyroidism,prevalence,0.04,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_beagle,intervertebral_disc,prevalence,0.06,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_rottweiler,hip_dysplasia,prevalence,0.15,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_rottweiler,cruciate_disease,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_rottweiler,cancer,prevalence,0.18,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_rottweiler,elbow_dysplasia,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_rottweiler,heart_disease,prevalence,0.06,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_yorkshire_terrier,dental_disease,prevalence,0.25,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_yorkshire_terrier,patellar_luxation,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_yorkshire_terrier,tracheal_collapse,prevalence,0.08,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_yorkshire_terrier,liver_shunt,prevalence,0.03,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_yorkshire_terrier,hypoglycemia,prevalence,0.05,puppy,VetCompass,"VetCompass 2021 Breed Health Report"
dog_boxer,cancer,prevalence,0.28,senior,VetCompass,"VetCompass 2021 Breed Health Report"
dog_boxer,heart_disease,prevalence,0.12,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_boxer,skin_allergies,prevalence,0.15,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_boxer,boas,prevalence,0.10,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_boxer,hip_dysplasia,prevalence,0.08,all,VetCompass,"VetCompass 2021 Breed Health Report"
dog_dachshund,intervertebral_disc,prevalence,0.22,all,VetCompass,"VetCompass 2021 Breed Health Report"
